,stateabbr,statedesc,placename,totalpopulation,access2_crudeprev,arthritis_crudeprev,binge_crudeprev,bphigh_crudeprev,bpmed_crudeprev,cancer_crudeprev,casthma_crudeprev,cervical_crudeprev,chd_crudeprev,checkup_crudeprev,cholscreen_crudeprev,colon_screen_crudeprev,copd_crudeprev,corem_crudeprev,corew_crudeprev,csmoking_crudeprev,dental_crudeprev,depression_crudeprev,diabetes_crudeprev,ghlth_crudeprev,highchol_crudeprev,kidney_crudeprev,lpa_crudeprev,mammouse_crudeprev,mhlth_crudeprev,obesity_crudeprev,phlth_crudeprev,sleep_crudeprev,stroke_crudeprev,teethlost_crudeprev
4380,FL,Florida,Clarcona,2947,19.8,26.3,13.2,37.5,77.4,7.8,8.9,81.8,8.3,75.2,89.2,71.8,9.8,42.3,38.3,19.0,56.4,18.3,12.5,18.2,35.1,3.6,25.8,72.8,14.8,30.2,12.9,33.8,4.0,15.0
4387,FL,Florida,Crescent Beach,931,12.9,30.5,12.7,41.7,83.0,11.2,7.7,80.8,10.0,80.8,91.9,79.3,9.0,47.4,39.3,11.7,67.5,17.4,12.4,14.2,39.2,3.9,20.2,78.2,11.8,23.6,11.1,26.6,4.0,10.2
4391,FL,Florida,Beverly Beach,338,9.8,40.2,7.9,48.9,86.3,15.3,7.3,83.5,12.2,86.9,96.1,81.9,10.1,52.1,38.7,9.6,69.2,16.0,14.2,14.7,45.7,4.8,21.4,75.3,9.2,25.9,11.9,26.4,4.9,8.9
4398,FL,Florida,Ferndale,472,16.1,24.4,17.1,31.0,71.9,6.6,8.2,82.2,6.1,73.2,87.3,73.3,7.5,53.8,42.9,18.1,63.0,20.7,9.6,13.0,32.5,2.6,21.7,77.3,15.4,33.6,10.3,33.4,2.7,13.0
4401,FL,Florida,Miramar,122041,26.2,16.5,14.6,28.3,69.7,4.1,8.6,84.2,4.0,74.7,87.7,72.4,4.7,28.7,31.7,15.8,59.9,15.6,10.2,15.4,26.9,2.5,26.6,82.7,15.3,31.7,9.6,40.2,2.5,12.5
4416,FL,Florida,Inverness Highlands South,6542,22.0,33.3,14.1,42.6,80.4,9.2,9.4,76.3,10.6,77.1,87.2,70.7,13.1,41.4,34.3,23.5,51.1,22.2,13.4,21.5,39.8,4.3,32.2,68.5,16.3,32.8,15.5,37.7,5.0,20.6
4419,FL,Florida,Center Hill,1000,31.7,25.0,15.6,35.7,74.3,5.9,9.7,76.6,7.9,74.2,82.4,71.2,10.8,34.5,33.7,24.5,47.6,20.9,13.1,22.8,31.8,3.5,31.6,78.1,18.0,38.8,14.5,35.6,4.1,21.8
4424,FL,Florida,Taft,2205,25.7,18.5,16.2,28.3,69.4,5.3,8.3,82.2,5.3,70.2,86.2,70.1,6.5,41.9,39.3,17.7,56.8,18.0,9.4,15.2,29.3,2.5,24.2,72.1,15.5,28.8,10.4,34.0,2.6,13.4
4425,FL,Florida,Seminole Manor,2625,39.9,24.0,13.6,36.0,72.6,5.4,10.3,74.9,8.3,73.0,81.8,66.1,12.2,29.8,33.2,28.1,43.6,20.5,15.2,28.9,32.1,4.1,39.0,75.7,19.2,33.6,17.4,39.5,4.8,29.9
4428,FL,Florida,Pelican Bay,6346,8.6,37.3,7.1,44.2,87.8,16.1,6.7,83.7,11.8,85.6,96.6,82.8,8.8,56.1,46.4,6.9,77.1,12.6,13.4,12.5,46.3,4.6,20.5,72.5,7.7,19.5,10.0,22.4,4.6,6.7
4440,FL,Florida,Daytona Beach,61572,23.9,27.6,15.1,37.5,74.8,6.6,10.2,76.0,8.1,76.1,84.8,70.5,10.0,42.3,32.5,22.3,46.6,20.3,13.7,21.9,32.0,3.9,30.8,78.2,17.5,36.2,14.1,38.3,4.5,21.4
4449,FL,Florida,Southwest Ranches,7359,19.2,19.1,15.6,27.1,73.4,6.1,7.4,85.1,5.1,74.1,89.5,74.1,5.3,35.9,37.0,12.1,69.8,16.1,9.1,11.9,32.2,2.5,20.8,80.9,13.1,25.7,8.9,32.7,2.3,8.2
4464,FL,Florida,West Bradenton,4192,17.0,26.5,15.0,33.3,76.9,7.7,8.6,81.7,7.4,76.3,88.3,71.6,8.7,37.4,40.1,18.0,63.5,19.7,10.6,14.9,34.2,3.1,22.7,75.0,14.6,29.7,11.8,32.4,3.5,13.5
4479,FL,Florida,Port St. Lucie,164724,22.9,24.3,15.3,34.1,74.2,6.8,8.8,82.2,6.8,76.2,87.2,72.7,8.1,34.7,34.0,18.8,58.4,19.0,10.8,17.0,32.3,3.1,28.2,75.2,15.6,33.5,11.7,34.7,3.4,14.8
4483,FL,Florida,Sanford,53796,24.4,21.4,16.8,31.0,70.8,4.9,9.5,80.3,5.5,74.5,84.4,70.4,7.2,37.1,31.3,20.0,52.5,19.3,10.9,17.1,28.5,2.9,28.7,75.3,17.1,34.1,11.6,38.4,3.1,18.1
4487,FL,Florida,Coleman,703,20.8,25.8,15.0,38.6,76.9,6.7,9.4,80.3,7.1,77.8,87.8,72.7,8.6,40.3,35.2,20.6,56.7,18.7,12.8,18.1,32.6,3.3,26.3,81.4,15.9,37.7,12.2,36.3,3.9,15.9
4490,FL,Florida,Montverde,1463,17.4,24.1,16.6,30.8,71.7,6.5,8.3,81.5,5.9,73.3,87.6,72.8,7.3,52.6,43.9,18.1,62.4,20.5,9.9,13.4,32.1,2.6,22.5,77.0,15.4,34.2,10.3,33.8,2.7,13.1
4494,FL,Florida,Shady Hills,11523,21.6,29.2,15.8,34.8,76.7,7.4,9.4,78.1,8.4,73.9,86.1,67.3,11.4,34.3,33.5,26.2,52.1,24.0,12.5,19.7,35.8,3.5,28.9,71.9,17.1,32.9,14.4,35.1,4.0,18.0
